00:14:bf:eb:81:5d,00:22:b0:68:05:36,02:2c:2c:36:bb:34,20:c9:d0:aa:22:68,20:c9:d0:aa:22:69,22:e2:30:f4:40:5d,34:fc:b9:ee:20:20,34:fc:b9:ee:20:21,34:fc:b9:ee:da:a0,34:fc:b9:ee:da:a1,34:fc:b9:ee:da:b0,34:fc:b9:ee:da:b1,38:72:c0:47:8a:af,38:d5:47:73:ef:f8,38:d5:47:73:ef:fc,40:b0:34:b2:2c:a2,40:e3:d6:b1:b2:c0,40:e3:d6:b1:b2:c1,40:e3:d6:b1:b2:d0,40:e3:d6:b1:b2:d1,40:e3:d6:b2:47:40,40:e3:d6:b2:47:41,40:e3:d6:b2:47:50,40:e3:d6:b2:47:51,40:e3:d6:b2:49:a0,40:e3:d6:b2:49:a1,40:e3:d6:b2:49:b0,40:e3:d6:b2:49:b1,40:e3:d6:b2:4d:40,40:e3:d6:b2:4d:41,40:e3:d6:b2:4d:50,40:e3:d6:b2:4d:51,40:e3:d6:b2:54:20,40:e3:d6:b2:54:21,40:e3:d6:b2:54:23,40:e3:d6:b2:54:30,40:e3:d6:b2:54:31,40:e3:d6:b2:54:33,54:b8:0a:12:e7:ae,60:e3:27:be:73:bc,6a:14:01:38:a9:9f,90:94:e4:3d:43:98,_id,a8:bd:27:6a:a5:c0,a8:bd:27:6a:a5:c1,a8:bd:27:6a:a5:d0,a8:bd:27:6a:a5:d1,a8:bd:27:6a:a8:e0,a8:bd:27:6a:a8:e1,a8:bd:27:6a:a8:f0,a8:bd:27:6a:a8:f1,a8:bd:27:6a:b5:40,a8:bd:27:6a:b5:41,a8:bd:27:6a:b5:50,a8:bd:27:6a:b5:51,a8:bd:27:6a:c1:c0,a8:bd:27:6a:c1:c1,a8:bd:27:6a:c1:d0,a8:bd:27:6a:c1:d1,a8:bd:27:6a:c6:60,a8:bd:27:6a:c6:61,a8:bd:27:6a:c6:70,a8:bd:27:6a:c6:71,ac:a3:1e:df:0a:60,ac:a3:1e:df:0a:61,ac:a3:1e:df:0a:70,ac:a3:1e:df:0a:71,ac:a3:1e:df:3b:40,ac:a3:1e:df:3b:41,ac:a3:1e:df:43:20,ac:a3:1e:df:43:21,ac:a3:1e:df:43:30,ac:a3:1e:df:43:31,ac:a3:1e:df:46:20,ac:a3:1e:df:46:21,e4:8d:8c:9d:a2:ca,f4:f2:6d:c4:fc:72,lat,lng,waypoint_id
-78.0,-86.0,,-79,-72,-85.0,,,-84.0,,-73.0,-73.0,-92.0,,-86.0,,,,,,-58.0,-59.0,-52,,-90.0,,,,-73.0,-71.0,-67.0,-67.0,,,-90.0,-83.0,-83.0,-82.0,,-78.0,-91.0,,5af9b25d1a6fb40ea5949f47,,,,,-78.0,,-80.0,-80.0,,,,,-75.0,-74.0,-66.0,-70.0,,,-75,-75,-81.0,-82.0,,,,,,,,,,,-82.0,-83,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-86.0,-93.0,,-81,-67,-91.0,,,,,-77.0,-77.0,,,-86.0,,,,,,-66.0,-67.0,-55,,-90.0,,,,-73.0,-71.0,-76.0,-76.0,-89.0,-89.0,-86.0,-83.0,-83.0,-82.0,,-78.0,-91.0,,5af9b2601a6fb40ea5949f48,,,,,-92.0,-92.0,-80.0,-80.0,,,,,-83.0,-83.0,-66.0,-70.0,-80.0,,-76,-76,-81.0,-82.0,,,,,,,,,,,-82.0,-88,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-83.0,-93.0,,-90,-67,-91.0,,,,,-81.0,-81.0,,,-86.0,,,,,,-75.0,-76.0,-63,,,,,,-88.0,-89.0,-74.0,-74.0,-88.0,-89.0,-86.0,-83.0,-83.0,-82.0,,,-91.0,-88.0,5af9b2641a6fb40ea5949f49,,,,,-92.0,-92.0,-80.0,-80.0,,,,,-84.0,-83.0,-66.0,,-80.0,,-78,-78,-81.0,-87.0,,,,,,,,,,,-82.0,-86,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-83.0,-93.0,,-90,-67,-91.0,,,,,-81.0,-81.0,,,-86.0,,,,,,-75.0,-76.0,-63,,,,,,-88.0,-89.0,-74.0,-74.0,-88.0,-89.0,-86.0,-83.0,-83.0,-82.0,,,-91.0,-88.0,5af9b2661a6fb40ea5949f4a,,,,,-92.0,-92.0,-80.0,-80.0,,,,,-84.0,-83.0,-66.0,,-80.0,,-78,-78,-81.0,-87.0,,,,,,,,,,,-82.0,-86,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-83.0,-93.0,,-82,-71,-91.0,,,,-89.0,-75.0,-75.0,,,,,,,,,-69.0,-69.0,-60,,,,,,-86.0,-88.0,-74.0,-74.0,-88.0,-87.0,-87.0,-83.0,-83.0,-82.0,,-81.0,-91.0,-93.0,5af9b2671a6fb40ea5949f4b,,,,,-92.0,-92.0,-80.0,-80.0,,,,,-85.0,-84.0,,,-80.0,,-72,-73,-81.0,-85.0,,,,,,,,,,,,-86,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-83.0,-93.0,,-82,-71,-91.0,,,,-89.0,-75.0,-75.0,,,,,,,,,-69.0,-69.0,-60,,,,,,-86.0,-88.0,-74.0,-74.0,-88.0,-87.0,-87.0,-83.0,-83.0,-82.0,,-81.0,-91.0,-93.0,5af9b2681a6fb40ea5949f4c,,,,,-92.0,-92.0,-80.0,-80.0,,,,,-85.0,-84.0,,,-80.0,,-72,-73,-81.0,-85.0,,,,,,,,,,,,-86,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-83.0,-93.0,,-82,-71,-91.0,,,,-89.0,-75.0,-75.0,,,,,,,,,-69.0,-69.0,-60,,,,,,-86.0,-88.0,-74.0,-74.0,-88.0,-87.0,-87.0,-83.0,-83.0,-82.0,,-81.0,-91.0,-93.0,5af9b2691a6fb40ea5949f4d,,,,,-92.0,-92.0,-80.0,-80.0,,,,,-85.0,-84.0,,,-80.0,,-72,-73,-81.0,-85.0,,,,,,,,,,,,-86,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-85.0,,,-85,-66,-91.0,,,-83.0,-89.0,-77.0,-77.0,,,,,,,,,-72.0,-71.0,-55,,,,,,-87.0,-89.0,-73.0,-73.0,-84.0,-85.0,-85.0,,,,,-81.0,,-85.0,5af9b26d1a6fb40ea5949f4e,,,,,,,,,,,,,-80.0,-78.0,-72.0,-71.0,-75.0,,-72,-72,,-87.0,,,,,,,,,,,,-80,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-85.0,,,-85,-66,-91.0,,,-83.0,-89.0,-77.0,-77.0,,,,,,,,,-72.0,-71.0,-55,,,,,,-87.0,-89.0,-73.0,-73.0,-84.0,-85.0,-85.0,,,,,-81.0,,-85.0,5af9b26e1a6fb40ea5949f4f,,,,,,,,,,,,,-80.0,-78.0,-72.0,-71.0,-75.0,,-72,-72,,-87.0,,,,,,,,,,,,-80,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
-85.0,,,-85,-66,-91.0,,,-83.0,-89.0,-77.0,-77.0,,,,,,,,,-72.0,-71.0,-55,,,,,,-87.0,-89.0,-73.0,-73.0,-84.0,-85.0,-85.0,,,,,-81.0,,-85.0,5af9b26e1a6fb40ea5949f50,,,,,,,,,,,,,-80.0,-78.0,-72.0,-71.0,-75.0,,-72,-72,,-87.0,,,,,,,,,,,,-80,39.479004875987854,-6.342060416936874,5af9b25d1a6fb40ea5949f46
